t,f1,f2,f3,fx,fy,fz,frx,fry,frz
7.55,1797.68543629445,1636.45908390821,1498.65403195634,262.857705846525,163.792304403426,-3842.35233057581,-2503.59198004436,90962.7036102592,-3562.2240776249
7.6,1790.05704920039,1642.3566523821,1497.64145721418,256.796332156802,167.616074095318,-3838.68299598613,-2683.03902763696,90467.1336759544,-3499.44923596447
7.65,1780.49891113978,1647.78560301854,1495.002976763,249.925415795322,171.914858376035,-3831.90253476817,-2902.83457983699,89878.9044227451,-3418.03084177416
7.7,1772.23500586798,1652.16324639503,1490.26156746945,244.657274430213,176.619641911797,-3823.62506876164,-3166.45825538855,89365.5939392219,-3320.64955395604
7.75,1767.37224258834,1655.21335942468,1483.51972961854,242.439508469457,181.537348731563,-3815.31484512788,-3465.45855697012,89036.0337657872,-3213.14798758902
7.8,1766.80272423928,1656.81950197184,1475.28139551008,243.777334469388,186.357355899986,-3807.95907288763,-3780.78940535203,88935.1271406257,-3103.76969387123
7.85,1770.4113140085,1657.03021590735,1466.40906376076,248.376718434419,190.674606819338,-3802.18726844196,-4084.65024290703,89054.7401846026,-3002.75585416454
7.9,1777.23403818643,1656.12101215348,1457.99254909555,255.247470352831,194.089721869067,-3798.34648046427,-4347.04023647237,89343.3784456138,-2920.28651982585
7.95,1785.45060384754,1654.40323251423,1451.00433717198,262.85552656287,196.276708288805,-3796.07483525696,-4541.73373453383,89705.5775280477,-2863.87380507142
8,1792.53858217973,1651.66003337427,1446.13262463315,269.43113396863,196.750448008453,-3793.8409218386,-4634.7279703529,90011.1686535982,-2842.25876912212
8.05,1795.96300336191,1648.93720052658,1443.72405695733,272.903768775094,195.8912082481,-3790.8018074996,-4641.89486376953,90128.6378562088,-2846.88998211618
8.1,1794.35387139446,1647.2020064257,1443.51632962318,272.139369308471,194.362663849075,-3786.4668595173,-4599.74911486014,89986.6415050227,-2863.17656662399
8.15,1788.00893716044,1646.56400423764,1444.67235192054,267.501060630035,192.653993701018,-3780.47541207008,-4540.40775448814,89601.6163094931,-2879.61722253533
8.2,1778.1930004711,1646.62794528756,1446.11043960449,260.203773113794,191.106728029951,-3772.61190583501,-4490.2134148239,89040.9639306628,-2887.67723191753
8.25,1766.44646286494,1646.74154749005,1446.71060988776,251.743645552709,189.945761318046,-3762.64078294976,-4469.19198673537,88386.6110979515,-2881.29870055816
8.3,1754.16031805599,1646.26051696653,1445.61750756276,243.453873797553,189.271058484941,-3750.42645395433,-4488.31415209234,87712.0683090375,-2857.64568510838
8.35,1742.78905104996,1644.64799452166,1442.52472197527,236.52851942107,188.966195706741,-3736.40429315654,-4543.37243166188,87093.2667884885,-2819.83945618977
8.4,1733.88620102207,1641.33428887643,1437.67040771986,232.089945135935,188.61804769433,-3721.50200977775,-4610.98400355022,86610.8599762369,-2778.42622928673
8.45,1728.52047916792,1635.89004977956,1431.71103643268,230.802660312345,187.667033521412,-3706.72671916626,-4657.19699482344,86319.9508959126,-2747.47347649857
8.5,1726.76290937049,1628.63645635282,1425.57623114245,232.37733188907,185.818085370734,-3693.13672485726,-4660.28569692972,86223.678218457,-2735.62317486304
8.55,1727.51168237637,1620.3454066028,1420.14138106727,235.647122551668,183.044233914043,-3681.21684193042,-4612.59468646998,86263.9026627313,-2744.75632399159
8.6,1728.6852836512,1611.7323556039,1416.03036677406,238.86860831673,179.407928086776,-3670.46314644248,-4511.79322134633,86332.4068060538,-2773.00473960822
8.65,1729.01147599344,1603.29573588074,1413.5163560786,240.987977640254,175.032130568573,-3660.52242651493,-4362.12231428523,86362.2414859232,-2817.20031725541
8.7,1727.17710357346,1595.39750187823,1412.51745897039,241.06995643474,170.144439186765,-3650.62239126559,-4175.47631695344,86285.249394484,-2871.11914111484
8.75,1721.98187396773,1588.5027658261,1412.59846446495,238.307830420036,165.212933458359,-3639.87286987403,-3978.84022426082,86039.2146942724,-2922.97334282822
8.8,1713.0000880463,1582.99948071035,1412.96316499016,232.525151658454,160.858202598263,-3627.61633275417,-3810.2287600829,85601.5743495319,-2958.02115351894
8.85,1700.85201245548,1578.82724707006,1412.66871257938,224.40739850527,157.537474988978,-3613.51965997315,-3700.62736210082,85003.6890924163,-2965.5224977917
8.9,1686.94270493363,1575.47800481367,1410.91650712407,215.256778850668,155.391093406425,-3597.61265356374,-3663.72632335804,84318.1593480894,-2942.2940755322
