t,f1,f2,f3
19.9,1632.65774550814,1556.7307349153,1364.21619699017
19.95,1627.23631961241,1551.85506259108,1359.28839721017
20,1621.67354636467,1546.67162705855,1354.7258809983
20.05,1615.95329298287,1541.27382333499,1350.4990256183
20.1,1610.18084683981,1535.77203321536,1346.4572345336
20.15,1604.51360941671,1530.29362638583,1342.42066931221
20.2,1599.04202256152,1524.9613384578,1338.29534027968
20.25,1593.85250562867,1519.86581558051,1334.09852897552
20.3,1589.00091936684,1514.96164244105,1329.85554257079
20.35,1584.54968360493,1510.09471072614,1325.63163166146
20.4,1580.59069413264,1505.07947923523,1321.59114676343
20.45,1577.10603281996,1499.75568929401,1317.91326096902
20.5,1573.95757339894,1494.08941611924,1314.74176705064
20.55,1571.03033688045,1488.20178468912,1312.16643175924
20.6,1568.21694726709,1482.28038349176,1310.17594429118
20.65,1565.35434528615,1476.51094465697,1308.67779173619
20.7,1562.29882371051,1471.02592680599,1307.51638190587
20.75,1559.04761733709,1465.91148587795,1306.52502058413
20.8,1555.78526564869,1461.20188328318,1305.54214564455
20.85,1552.6766517396,1456.88409659575,1304.43041005245
20.9,1549.86904185154,1452.9095307106,1303.14279286945
20.95,1547.42055833458,1449.22438313043,1301.75360661219
21,1545.26952312375,1445.73268009354,1300.36442229058
21.05,1543.36448986124,1442.35177753249,1299.06221929959
21.1,1541.64696541969,1439.05430690575,1297.8741839332
21.15,1540.01714842456,1435.87748643332,1296.76830690113
21.2,1538.35044961958,1432.93519244091,1295.68981824753
21.25,1536.53708114539,1430.34080816292,1294.54661611075
21.3,1533.09775481827,1428.17445950837,1293.27571117524
21.35,1528.38973125648,1426.42344568786,1291.84459486041
21.4,1525.94224439455,1424.99959991279,1290.25366933437
21.45,1523.5653546698,1423.77405999995,1288.48304722571
21.5,1521.0316542795,1422.12067167233,1286.53345600888
21.55,1518.61326841875,1417.98951891139,1284.43490755099
21.6,1516.50830545298,1416.28444364716,1282.22574162889
21.65,1514.64036497589,1415.38930888027,1280.00336158061
21.7,1512.44129362575,1414.29322430048,1277.88260765374
21.75,1509.59137124189,1413.10956915116,1275.96921656881
21.8,1507.02893135302,1412.00336992718,1274.33099702603
21.85,1505.28280129638,1410.9947191338,1272.94174629474
21.9,1503.76087886305,1409.88539451811,1271.76730946846
21.95,1501.94848278179,1408.14684046794,1270.79558019054
22,1499.68285467283,1405.99108112398,1270.04033091316
22.05,1497.33729803445,1404.46772558969,1269.4859882935
22.1,1495.65671171056,1403.60217354418,1269.10145943167
22.15,1494.88071242239,1402.65365554543,1268.85093121424
22.2,1494.75921462578,1401.10625776279,1268.67066480466
22.25,1495.00227683911,1399.07506170383,1268.03706981523
22.3,1495.42326766964,1397.24241769891,1265.6237599417
22.35,1495.83561634305,1396.03144442597,1265.50648419685
22.4,1495.99339814971,1395.24578063185,1266.06001229911
22.45,1495.80863618548,1394.62043541471,1266.7076902852
22.5,1495.48708310704,1394.07390172259,1267.54609833211
22.55,1495.24808830941,1393.51190490303,1268.53068811812
22.6,1492.87676698124,1392.76283061779,1269.50740830517
22.65,1490.8363161111,1391.68128989825,1270.26543815535
22.7,1491.03925542292,1390.43150374739,1270.41078446554
22.75,1491.28448675276,1389.43370590856,1269.78860896195
22.8,1491.64627185712,1388.90671475108,1269.12073924577
22.85,1492.41572292663,1388.69076458203,1268.82729472267
22.9,1493.60081549,1388.49495712696,1268.47264209744
22.95,1494.81869980586,1388.2286142984,1267.67121796162
23,1495.29730156425,1388.03185243873,1266.61721476406
23.05,1494.73871597321,1388.071655921,1265.91970877699
