Time,X,Y,Z,RX,RY,RZ
12.5,15.57221798,-0.938942983,11.11801475,0.8503008,-0.560502191,1.061513457
12.55,15.57679138,-0.932217077,11.0641463,0.880681955,-0.580895211,1.051394633
12.6,15.58099902,-0.925826596,11.0096716,0.910359299,-0.600711934,1.041762298
12.65,15.58483515,-0.919781622,10.9546346,0.93929999,-0.619954477,1.032631349
12.7,15.58829112,-0.914091425,10.89908063,0.967471932,-0.638617858,1.024016618
12.75,15.59135973,-0.908764105,10.84305363,0.994841408,-0.65669821,1.0159287
12.8,15.59403522,-0.903805331,10.78659968,1.021373952,-0.674188553,1.008375075
12.85,15.59630464,-0.899220684,10.72976341,1.047035414,-0.691076861,1.001362846
12.9,15.59815646,-0.895014663,10.67259162,1.071792575,-0.7073569,0.994897498
12.95,15.59957917,-0.891190869,10.61512968,1.095614648,-0.723025491,0.988983954
13,15.60055548,-0.887754971,10.55742437,1.118475829,-0.738081201,0.98362932
13.05,15.60107676,-0.884715159,10.49952396,1.140357675,-0.752532258,0.978843566
13.1,15.60112859,-0.882080434,10.44147521,1.161246969,-0.766390378,0.974636664
13.15,15.60070668,-0.879859614,10.3833264,1.181131997,-0.779666777,0.971017403
13.2,15.59980381,-0.878061521,10.32512502,1.20000528,-0.792378597,0.967993946
13.25,15.5984171,-0.876694253,10.26691644,1.217860086,-0.804538986,0.965573274
13.3,15.59654512,-0.875762312,10.20874891,1.234686943,-0.816156358,0.963758002
13.35,15.59418642,-0.875267407,10.15066704,1.250473885,-0.827238566,0.962547323
13.4,15.59133669,-0.875211248,10.09271695,1.265210318,-0.837787167,0.961940675
13.45,15.5879916,-0.875596803,10.03494468,1.278888761,-0.847800791,0.961939615
13.5,15.58414395,-0.876427046,9.977394901,1.291504978,-0.857278129,0.962544083
13.55,15.57979087,-0.877704314,9.92011511,1.303057222,-0.866216876,0.963752767
13.6,15.57492372,-0.879432838,9.863149967,1.313547988,-0.874619335,0.965566979
13.65,15.56953961,-0.881618827,9.806546249,1.322985751,-0.882491928,0.967989895
13.7,15.5636371,-0.884267503,9.750349331,1.331380982,-0.889842755,0.971023199
13.75,15.5572162,-0.887383184,9.694603853,1.338743402,-0.896682974,0.974667639
13.8,15.55028411,-0.890969381,9.63935445,1.345082235,-0.903023802,0.978923837
13.85,15.54284658,-0.895026992,9.584645762,1.350404212,-0.908874151,0.983788554
13.9,15.53490937,-0.899552691,9.530520263,1.354711578,-0.914239879,0.989252565
13.95,15.52648545,-0.904541974,9.47701972,1.358005203,-0.919119615,0.995305523
14,15.51758057,-0.909991153,9.424186613,1.360286959,-0.923507875,1.001937647
14.05,15.50820194,-0.915896358,9.372060541,1.361560584,-0.927397741,1.009139586
14.1,15.49835243,-0.922253719,9.320682536,1.361831189,-0.930779242,1.016901432
14.15,15.48803492,-0.929061256,9.270093646,1.36110725,-0.933644337,1.025216765
14.2,15.47725519,-0.936318068,9.220333469,1.359398862,-0.935988353,1.03408116
14.25,15.46601753,-0.944020827,9.171442328,1.356714751,-0.937809545,1.043487513
14.3,15.45432628,-0.952162511,9.123458371,1.353060153,-0.93911109,1.053424356
14.35,15.44219151,-0.960735111,9.076420494,1.348439181,-0.939898536,1.063879972
14.4,15.42962907,-0.969730707,9.030367564,1.342856321,-0.940175436,1.074843268
14.45,15.41665335,-0.979139939,8.985334141,1.336315561,-0.939945776,1.086301405
14.5,15.40328163,-0.988952368,8.941356232,1.328820145,-0.939209933,1.098239552
14.55,15.3895312,-0.999157732,8.898467672,1.320375181,-0.937961113,1.110643747
14.6,15.37541934,-1.009746674,8.856702301,1.310986403,-0.936191089,1.123500778
14.65,15.36096187,-1.020708212,8.816091079,1.300660917,-0.933887395,1.136794816
14.7,15.34617177,-1.032031817,8.776666402,1.289406201,-0.931034266,1.150510029
14.75,15.33105911,-1.043708218,8.738458522,1.277233846,-0.927623286,1.164633206
14.8,15.31563398,-1.055728506,8.701498384,1.264156068,-0.923649846,1.17915101
14.85,15.29990644,-1.0680817,8.665814799,1.250185955,-0.919112697,1.194047362
14.9,15.28388659,-1.080756552,8.631437277,1.235336594,-0.91402013,1.209306805
14.95,15.26758882,-1.093741452,8.598393904,1.219623068,-0.908382488,1.224914258
15,15.25102753,-1.107023528,8.566711323,1.203059836,-0.902211053,1.240852021
15.05,15.23422145,-1.120588112,8.536415444,1.185662477,-0.895520221,1.257099902
15.1,15.21719073,-1.134422333,8.507530033,1.167448693,-0.888318656,1.2736397
15.15,15.19995409,-1.148514311,8.480078124,1.148440046,-0.880609598,1.290455714
15.2,15.18253314,-1.162851538,8.454079891,1.128659345,-0.872395788,1.307530864
15.25,15.16494369,-1.177421862,8.4295562,1.108132146,-0.863674049,1.324848824
15.3,15.14720451,-1.192214754,8.406525775,1.086886241,-0.854440269,1.342395382
15.35,15.12932707,-1.207220585,8.385005896,1.064953042,-0.844695754,1.360157952
15.4,15.11132436,-1.222429273,8.365015281,1.042363587,-0.834442936,1.378121947
15.45,15.09320932,-1.2378293,8.346569049,1.019148474,-0.823691037,1.396270916
15.5,15.07499349,-1.253407704,8.329682325,0.995336374,-0.812457946,1.414587783
15.55,15.05669126,-1.269149818,8.314369511,0.970954706,-0.800764542,1.433052976
15.6,15.03831848,-1.2850389,8.300643557,0.946029025,-0.788634254,1.451645683
15.65,15.01989385,-1.30105902,8.28851599,0.920586377,-0.776091516,1.470346581
15.7,15.00143466,-1.31719722,8.27799689,0.8946583,-0.763157268,1.489140838
15.75,14.98296107,-1.333442069,8.269092733,0.868279317,-0.749849395,1.508014994
15.8,14.96449324,-1.349782316,8.261809997,0.841484768,-0.736181297,1.526954588
15.85,14.94604702,-1.366206983,8.256154451,0.814310486,-0.722160889,1.545946158
15.9,14.92763679,-1.38270536,8.252127529,0.786790876,-0.707796336,1.564976743
15.95,14.90927552,-1.399263496,8.249732115,0.758956099,-0.693099167,1.584031136
16,14.89097185,-1.415865551,8.248968918,0.730831959,-0.678082969,1.603091511
16.05,14.87273874,-1.432495056,8.249837954,0.702442013,-0.662767373,1.622141166
16.1,14.85458627,-1.449135361,8.252337048,0.673808697,-0.647177807,1.641163773
16.15,14.83652596,-1.465768556,8.256464048,0.644953076,-0.631344247,1.66014151
16.2,14.81857221,-1.482377181,8.262214637,0.615896777,-0.615299289,1.679056797
16.25,14.80074229,-1.498945217,8.269582329,0.58666398,-0.599075466,1.697893434
16.3,14.78305206,-1.515458083,8.278559922,0.557280798,-0.582703003,1.716636712
16.35,14.76552022,-1.53190237,8.289138068,0.527774779,-0.566208388,1.735273418
16.4,14.74816118,-1.548265117,8.301305233,0.498174153,-0.54961281,1.753791088
16.45,14.73098934,-1.564533186,8.315049186,0.468505845,-0.532933782,1.772177756
16.5,14.71401766,-1.580691636,8.33035408,0.438793881,-0.516187602,1.790418837
16.55,14.69725477,-1.596723006,8.347205525,0.409058856,-0.49939041,1.808495637
16.6,14.68070645,-1.612609838,8.365585515,0.379320685,-0.482562276,1.826390205
